name,family,hyp_id,obs_minute,direction,n_full,er_full,pf_full,wr_full,n_train,er_train,n_test,er_test,pf_test,wr_test,dsr_test,oos_positive
vwap_reclaim_30,vwap,98b4d0f23e52,30,long,455,0.013671443060974469,1.091081990602083,0.5252747252747253,303,-0.002356229823088823,152,0.04562134361275853,1.329064883926962,0.5394736842105263,0.10274990081938096,False
gap_rev_dn_g0.3_90,gap,4d8bfa8325a7,90,long,226,0.005707333217525927,1.033139762047374,0.5132743362831859,151,-0.012004043370559853,75,0.04136623808153863,1.303963884037256,0.5333333333333333,0.04278502567719437,False
mom_up_m0.003_60,momentum,08998f54b88b,60,long,341,-0.02254618673669247,0.875917347651253,0.5542521994134897,227,-0.049897836444110506,114,0.03191718592632413,1.231464985835479,0.6140350877192983,0.04228919839653796,False
fail_brk_dn_90,failed_breakout,6fcb07922c63,90,long,4,-0.025468409890282456,0.6891536537743652,0.5,2,-0.08077926948049254,2,0.02984244969992761,1.3877135301742147,0.5,,False
pullback_up_60,pullback,725bc89374aa,60,long,835,-0.001036470999480886,0.9932255908448219,0.5341317365269461,567,-0.01323927957764165,268,0.024780665059538343,1.1851182526388593,0.5597014925373134,0.06763104533754126,False
ib_compress_dn_q0.4,ib,3e63e2621c45,90,short,173,-0.006044282105471059,0.954246638961444,0.44508670520231214,118,-0.02010574103759145,55,0.024123938876169048,1.21243161272192,0.4727272727272727,0.01670795962660512,False
mom_up_m0.002_60,momentum,95749758870c,60,long,540,-0.014856579585431974,0.9122998338204271,0.5203703703703704,358,-0.03320121121415697,182,0.021227915596345764,1.149613014009844,0.5604395604395604,0.03279780816129008,False
volorb_up_0.6_0.95,volatility,62c73d713050,30,long,78,0.043766472430874837,1.3359365272521706,0.5897435897435898,52,0.057650477971256615,26,0.015998461350111272,1.0928891813348367,0.5769230769230769,0.008243398915969466,False
gap_fade_up_g0.3_90,gap,3c71cf981605,90,short,296,-0.0018031427582829778,0.9899789936226903,0.39864864864864863,202,-0.007670580450059199,94,0.010805606324044651,1.0645011737019414,0.425531914893617,0.009384488797042269,False
pdh_reject_90,levels,745d92984bce,90,short,259,-0.024973439090067898,0.8237568856995973,0.3861003861003861,174,-0.04114405683410944,85,0.008128766644793608,1.0594085015153383,0.47058823529411764,0.008607981958509273,False
gap_cont_dn_g0.3_90,gap,b9841ecc6121,90,short,211,-0.030358276104549137,0.8503676107394862,0.4549763033175355,147,-0.043354461802825275,64,-0.0005076620788211431,0.9969997162523486,0.5,0.004852427725808989,False
ib_compress_dn_q0.6,ib,d92e53509707,90,short,378,-0.006866757271001049,0.9546664890285544,0.46296296296296297,247,-0.00958495083037202,131,-0.0017416136895916693,0.988193658194378,0.44274809160305345,0.004329115667756425,False
pdl_accept_60,levels,b6fd6f7cdf58,60,short,217,-0.032270887249709126,0.842498690467418,0.4608294930875576,139,-0.047593538909297385,78,-0.004965136215314678,0.97039503989865,0.47435897435897434,0.003593833010451225,False
pdh_reject_60,levels,f1ec2c6e340b,60,short,258,-0.031412612729945014,0.7958274865822597,0.42248062015503873,175,-0.043727220162430164,83,-0.005448078986753426,0.9584590556247666,0.4578313253012048,0.0033005314988996787,False
gap_cont_dn_g0.3_30,gap,91b86e1a6a22,30,short,213,0.04565854345493279,1.2409501024165586,0.5117370892018779,142,0.0770272064287248,71,-0.01707878249265122,0.9187050034951973,0.5352112676056338,0.002089984438313321,False
