symbol,obs,feature,side,thr,n_train,er_train,wr_train,sr_train,n_test,er_test,wr_test,survivor
NQ,90,d_on_high,>,0.014555489277812333,1452,0.053577504321056194,0.6019283746556474,0.11813110882012784,695,0.058371240399348115,0.6071942446043166,True
NQ,90,d_on_high,<,0.014555489277812333,162,-0.3403658794946016,0.09876543209876543,-0.9041981739637933,77,-0.2995155942547341,0.16883116883116883,False
NQ,90,d_on_high,>,0.18398600102639595,1210,0.0916939514675353,0.6462809917355372,0.20223711923390583,587,0.08790277637912587,0.6473594548551959,True
NQ,90,d_on_high,<,0.18398600102639595,404,-0.21855053831601381,0.26732673267326734,-0.5391630147539105,185,-0.18428982926818632,0.2972972972972973,False
NQ,90,d_on_high,>,0.6710257387073648,404,0.18112818002222292,0.6262376237623762,0.30584853376658244,174,0.18330430340102621,0.6091954022988506,True
NQ,90,d_on_high,<,0.6710257387073648,1210,-0.04175249663878505,0.5264462809917355,-0.1060167021252927,598,-0.02406293891613068,0.5501672240802675,False
NQ,90,d_on_high,>,1.0263634468814988,162,0.11690990644948629,0.5432098765432098,0.16003099137338123,70,0.1796571725111885,0.5714285714285714,False
NQ,90,d_on_high,<,1.0263634468814988,1452,0.0025591315091125027,0.5523415977961432,0.006091791431410488,702,0.007021808040098614,0.5626780626780626,False
NQ,90,d_on_low,>,-1.0452897119534055,1452,0.05532588418161673,0.5654269972451791,0.14610816465091225,695,0.05777412513786446,0.5784172661870504,True
NQ,90,d_on_low,<,-1.0452897119534055,162,-0.3560365434299959,0.42592592592592593,-0.4284294184544731,77,-0.2941260474140699,0.42857142857142855,False
NQ,90,d_on_low,>,-0.7333616107393315,1210,0.07954351251774319,0.5801652892561984,0.2216657704446314,582,0.079941862511837,0.5876288659793815,True
NQ,90,d_on_low,<,-0.7333616107393315,404,-0.18215937215450773,0.46534653465346537,-0.28256969863961884,190,-0.15274132979977226,0.48947368421052634,False
NQ,90,d_on_low,>,-0.21307181134232048,404,0.22390147205067037,0.75,0.6679096294994218,212,0.21056401819516832,0.7594339622641509,True
NQ,90,d_on_low,<,-0.21307181134232048,1210,-0.056033827200349336,0.48512396694214877,-0.11751446428083208,560,-0.04845403667400582,0.48928571428571427,False
NQ,90,d_on_low,>,-0.012027743226515937,162,0.36073635900832585,0.9074074074074074,1.071954025856822,84,0.3528514412730129,0.9285714285714286,False
NQ,90,d_on_low,<,-0.012027743226515937,1452,-0.024644646255716704,0.5117079889807162,-0.053839552772821264,688,-0.017636932771803282,0.5188953488372093,False
NQ,90,d_on_mid,>,-0.43296407792884606,1452,0.05768424240990943,0.581267217630854,0.14042429355609418,693,0.06758868599286595,0.5901875901875901,True
NQ,90,d_on_mid,<,-0.43296407792884606,162,-0.37717442088358233,0.2839506172839506,-0.5660010575190364,79,-0.3713120009256162,0.3291139240506329,False
